,business,state,zip,zip_match_percent,name_match_percent,combined_percent,master_businessname,master_zip,duplicat?,duplicate?
27873,"MB ROOFING, INC.",CO,80022,80,50,56.0,MWH Americas Inc,80021,0,0.0
28110,"LEXTRON, INC.",CO,80632,60,51,52.800000000000004,"Grand Teton Painting, Inc.",80536,0,0.0
28658,KENAI WILDERNESS CABINS,CO,80125,60,49,51.2,Dana Kepner Co Inc,80204,0,0.0
28808,"CONN, INC.",CO,80015,80,52,57.6,"HomeAdvisor, Inc.",80401,0,0.0
29155,DIMOND SQUARE LIMITED PARTNERSHIP,CO,80204,100,39,51.2,Dana Kepner Co Inc,80204,0,0.0
29156,DIMOND SQUARE LIMITED PARTNERSHIP,CO,80204,100,39,51.2,Dana Kepner Co Inc,80204,0,0.0
29665,"SPECIALIZED LOAN SERVICING, LLC",CO,80163,80,55,60.0,Ol Reliable Services Inc,80134,0,0.0
30979,"LERCH BATES, INC",CO,80112,80,52,57.6,"eWranglers, LLC",80211,0,0.0
30987,SOUTHWEST POWER TOOLS,CO,80601,80,50,56.0,On The List Seattle,80012,0,0.0
30988,HERCULES DEADLINE ANCHORS CO.,CO,80601,80,51,56.800000000000004,Derr & Gruenewald Const Co,80640,0,0.0
30991,ANGLER'S ALIBI LLC,CO,80228,60,67,65.6,"eWranglers, LLC",80211,0,0.0
31180,"WEST STAR AVIATION, INC.",CO,81506,60,56,56.800000000000004,"Grand Teton Painting, Inc.",80536,0,0.0
31464,"WFR METERING, INC.",CO,80401,80,59,63.2,MWH Americas Inc,80021,0,0.0
31764,"ALEUT O&M SERVICES, LLC",CO,80919,60,60,60.0,Ol Reliable Services Inc,80134,0,0.0
31765,"ALEUT AEROSPACE ENGINEERING, LLC",CO,80919,60,54,55.2,4A Engraving LLC,80132,0,0.0
32180,PARADIGM CONCEPTS LLC,CO,80603,60,56,56.800000000000004,Apex Companies LLC,80401,0,0.0
32502,NEW DEAL DEICING,CO,80239,60,50,52.0,MWH Americas Inc,80021,0,0.0
32988,"DISH NETWORK, LLC",CO,80155,60,89,83.2,DISH Network L.L.C.,80160,0,0.0
33239,GEEKS WHO DRINK LLC,CO,80201,60,57,57.6,Hendersonian Design LLC,80122,0,0.0
33437,"FASTAFF, LLC",CO,80111,80,52,57.6,"eWranglers, LLC",80211,0,0.0
33459,"KAMINSKY, SULLENBERGER AND ASSOCIATES",CO,80308,60,43,46.4,National Service Animal Registry,80863,0,0.0
33517,DENALI LAND LLC,CO,80112,80,58,62.400000000000006,Hendersonian Design LLC,80122,0,0.0
33578,"CARDNO, INC.",CO,80124,60,62,61.6,"HomeAdvisor, Inc.",80401,0,0.0
34157,WALLED LAKE CREDIT BUREAU LLC,CO,80021,80,55,60.0,Deer Lake Electric Llc,80016,0,0.0
34843,"LEVEL 3 COMMUNICATIONS, LLC",CO,80021,100,90,92.0,Level 3 Communications,80021,0,1.0
35330,RACHEL'S CHALLENGE,CO,80120,80,45,52.0,Ace America's Cash Express,80112,0,0.0
35340,"GLOBAL CROSSING TELECOMMUNICATIONS, INC.",CO,80012,80,72,73.6,"Global Crossing Local Services, Inc",80021,0,0.0
35601,GRETCHEN M STICH,CO,81632,60,47,49.6,Roche Constructors Inc,80634,0,0.0
35668,"WESTERN LAND GROUP, INC.",CO,80218,60,67,65.6,"Ignite Media Group, Inc.",80237,0,0.0
35719,BOB ROPER CONSULTING,CO,80134,80,57,61.6,Roche Constructors Inc,80634,0,0.0
35973,"QUANTA POWER GENERATION, INC.",CO,80111,40,58,54.400000000000006,Gallagher Transport International Inc,80239,0,0.0
36027,ANDERSON RENTALS 4210,CO,80525,60,50,52.0,Hendersonian Design LLC,80122,0,0.0
36362,"IBLAIR, LLC",CO,80026,60,54,55.2,"eWranglers, LLC",80211,0,0.0
36401,"ATLAS TOWER HOLDINGS, LLC",CO,80303,100,45,56.0,Horizon Family Solutions LLC,80303,0,0.0
36410,"CREDIT SERVICE COMPANY, INC.",CO,80901,60,58,58.400000000000006,Ol Reliable Services Inc,80134,0,0.0
36434,DH GLABE & ASSOCIATES,CO,80031,80,42,49.6,Level 3 Communications,80021,0,0.0
36842,"BRIDGE DIAGNOSTICS, INC.",CO,80301,60,62,61.6,"Ignite Media Group, Inc.",80237,0,0.0
37047,CURLY Q COMMUNICATIONS,CO,81507,40,77,69.6,Level 3 Communications,80021,0,0.0
37224,"STURGEON ELECTRIC COMPANY, INC. ",CO,80640,60,57,57.6,Kalman Floor Company Inc,80439,0,0.0
37275,"MOTION AND FLOW CONTROL PRODUCTS, INC.",CO,80127,80,47,53.6,Vertex Financial Group Inc,80129,0,0.0
37358,"STURGEON ELECTRIC COMPANY, INC. ",CO,80640,60,57,57.6,Kalman Floor Company Inc,80439,0,0.0
37384,NUTRAWELLNESS WORKS INC.,CO,81303,60,50,52.0,Ol Reliable Services Inc,80134,0,0.0
37477,TURNER & TOWNSEND LARKSPUR LLC,CO,80111,80,44,51.2,"eWranglers, LLC",80211,0,0.0
37591,"ALEUT NORTHWEST SERVICES, LLC",CO,80919,60,57,57.6,Ol Reliable Services Inc,80134,0,0.0
38424,KNIGHT PIESOLD AND CO,CO,80202,60,65,64.0,Knight Restoration LLC,81007,0,0.0
38437,"VIASAT, INC.",CO,80112,60,62,61.6,"HomeAdvisor, Inc.",80401,0,0.0
38682,"MDM FINANCIAL MANAGEMENT, LLC",CO,80046,80,47,53.6,Madden Real Estate LLC,80014,0,0.0
39460,"EN BEAR, LLC",CO,80023,60,67,65.6,"eWranglers, LLC",80211,0,0.0
39517,"PAULIEN & ASSOCIATES, INC.",CO,80203,80,48,54.400000000000006,Compassion & Choices,80250,0,0.0
39644,"ASPEN HELI SKI, LLC",CO,81621,60,57,57.6,"Western Drilling Services, LLC",81402,0,0.0
39715,WESTERN INTERSTATE COMMISSION FOR HIGHER EDUCATION,CO,80301,33,53,53.0,Western Refractory Construction Incorporated,0,0,0.0
40377,DYNAMIC HELICAL SYSTEMS LLC,CO,80134,80,57,61.6,Madden Real Estate LLC,80014,0,0.0
40492,"JONES & KELLER, P.C.",CO,80202,100,43,54.4,Machol & Johannes PLLC,80202,0,0.0
40950,NORTAC,CO,80125,60,47,49.6,Blindsource,80921,0,0.0
40993,ICY BAY LODGE,CO,80026,40,59,55.2,Icing by Bling,80134,0,0.0
40994,ICY BAY LODGE,CO,80026,40,59,55.2,Icing by Bling,80134,0,0.0
40995,ICY BAY LODGE,CO,80026,40,59,55.2,Icing by Bling,80134,0,0.0
41011,SAN JUAN MOUNTAIN GUIDES,CO,81427,20,47,47.0,"Paramount Siding & Windows, Inc",80909,0,0.0
41258,TONI W. LINDER,CO,80209,60,50,52.0,Atlantis Van Lines Inc,80247,0,0.0
41498,PROBUILD HOLDINGS LLC,CO,80237,60,57,57.6,Horizon Family Solutions LLC,80303,0,0.0
41597,"MORTGAGE SOLUTIONS OF COLORADO, LLC",CO,80918,100,73,78.4,Mortgage Solutions Financial,80918,0,0.0
41731,FIRST DRILLING,CO,81042,80,50,56.0,"Western Drilling Services, LLC",81402,0,0.0
41774,PROBUILD HOLDINGS LLC,CO,80237,60,57,57.6,Horizon Family Solutions LLC,80303,0,0.0
42217,"CHERWELL SOFTWARE, LLC",CO,80908,60,59,59.2,Madden Real Estate LLC,80014,0,0.0
42271,WORLDREMIT,CO,80202,80,38,46.400000000000006,W J Bradley,80206,0,0.0
42333,907 INVESTMENTS LLC,CO,80104,60,58,58.400000000000006,"AIM Investment Solutions, Inc",80602,0,0.0
42389,"VIRTUOSO SOURCING GROUP, LLC",CO,80246,40,59,55.2,"Freedom Home Group, LLC",80918,0,0.0
42427,FRESH VIEW SOLUTIONS,CO,80217,80,52,57.6,Level 3 Communications,80021,0,0.0
42449,BACKER CONSULTING GROUP,CO,81122,20,55,55.0,L P R CONSTRUCTION CO,80537,0,0.0
42450,BACKER CONSULTING GROUP,CO,81122,20,55,55.0,L P R CONSTRUCTION CO,80537,0,0.0
42662,"AUDUBON ENGINEERING COMPANY, LIMITED PARTNERSHIP",CO,80021,80,43,50.4,Autumn Ridge Luxury Apartment Homes,80402,0,0.0
42689,"MERCURY PAYMENT SYSTEMS, LLC",CO,91301,40,51,48.800000000000004,"eWranglers, LLC",80211,0,0.0
42830,NATIONAL CREDIT CARE CORPORATION,CO,80234,80,63,66.4,Translogic Corporation,80239,0,0.0
44049,AA    SEWARD AIR TOURS,CO,80129,100,36,48.8,United Dominion Realty Trust,80129,0,0.0
44100,ALASKA CLEARWATER SPORTFISHING INC.,CO,80537,80,49,55.2,"Grand Teton Painting, Inc.",80536,0,0.0
44457,REGINA BRIMNER CONSULTING,CO,80540,60,51,52.800000000000004,Linda Riggins Swim Instruction,80437,0,0.0
44603,"GEOSTABILIZATION INTERNATIONAL, LLC",CO,81502,60,61,60.800000000000004,Gallagher Transport International Inc,80239,0,0.0
44744,"STAYBRIGHT ELECTRIC OF COLORADO, INC.",CO,80917,60,55,56.0,Kaiser Permanente of Colorado,80237,0,0.0
45018,ZEN ACUPRESSURE,CO,80439,80,41,48.800000000000004,Seattle Seamless Gutters,80539,0,0.0
45019,ZEN ACUPRESSURE,CO,80439,80,41,48.800000000000004,Seattle Seamless Gutters,80539,0,0.0
45020,ZEN ACUPRESSURE,CO,80439,80,41,48.800000000000004,Seattle Seamless Gutters,80539,0,0.0
45145,TRANS AERO LIMITED,CO,80538,80,41,48.800000000000004,"Grand Teton Painting, Inc.",80536,0,0.0
45157,"WAKEFIELD & ASSOCIATES, INC.",CO,80014,80,50,56.0,MWH Americas Inc,80021,0,0.0
45379,"WARRANTY SOLUTIONS ADMINISTRATIVE SERVICES, INC.",CO,80235,60,53,54.400000000000006,Ol Reliable Services Inc,80134,0,0.0
45774,"CENTURYLINK COMMUNICATIONS, LLC",CO,80202,80,64,67.2,Level 3 Communications,80021,0,0.0
46028,"URBAN FULFILLMENT SERVICES, LLC",CO,80021,60,69,67.2,"Western Drilling Services, LLC",81402,0,0.0
46557,CENTERLINE SOLUTIONS LLC,CO,80403,80,65,68.0,Horizon Family Solutions LLC,80303,0,0.0
46758,VECTRUS SYSTEMS CORPORATION,CO,80915,60,61,60.800000000000004,Translogic Corporation,80239,0,0.0
46760,"LONG BUILDING TECHNOLOGIES, INC.",CO,80120,80,53,58.400000000000006,Local Insight Media Holdings Inc,80112,0,0.0
46790,AWAKEN WELLNESS ALASKA,CO,81612,60,43,46.4,"eWranglers, LLC",80211,0,0.0
46947,"SURVEILLANCE ONE, INC.",CO,80026,80,46,52.800000000000004,Alpaca Connection,80302,0,0.0
47368,AMERICAN MOUNTAIN GUIDES ASSOCIATION,CO,80301,80,49,55.2,Alpaca Connection,80302,0,0.0
47485,"RIVERTECH, LLC",CO,80921,80,55,60.0,"eWranglers, LLC",80211,0,0.0
47544,"AERO SOLUTIONS OF ALASKA, LLC",CO,80301,80,56,60.800000000000004,Horizon Family Solutions LLC,80303,0,0.0
47814,"ALEUT FIELD SERVICES, LLC",CO,80919,40,69,63.2,"Western Drilling Services, LLC",81402,0,0.0
47880,SQUARETWO FINANCIAL SERVICES CORPORATION,CO,80217,60,68,66.4,First Data Merchant Services Corporation,80111,0,0.0
48132,THE LAKEFRONT ANCHORAGE - A MILLENNIUM HOTEL,CO,80302,80,41,48.800000000000004,Autumn Ridge Luxury Apartment Homes,80402,0,0.0
48453,STAGE 2 STUDIOS,CO,80015,60,53,54.400000000000006,StagedHomes.com,80127,0,0.0
48686,"R AND K HOLDINGS, LLC",CO,81631,60,56,56.800000000000004,"eWranglers, LLC",80211,0,0.0
49364,KENDRICK CONSULTING LLC,CO,80231,33,64,64.0,Krische Construction Inc,0,0,0.0
49517,"WESTERN INDUSTRIAL CONTRACTORS, INC.",CO,80011,33,57,57.0,Western Refractory Construction Incorporated,0,0,0.0
49781,CREATIVE MOTIVATION,CO,80206,60,54,55.2,Level 3 Communications,80021,0,0.0
50216,"PINGORA LOAN SERVICING, LLC",CO,80202,80,55,60.0,"Global Crossing Local Services, Inc",80021,0,0.0
50581,"RISINK, LLC",CO,80550,60,53,54.400000000000006,DISH Network L.L.C.,80160,0,0.0
50582,CARPET DIRECT CORP,CO,81252,60,48,50.400000000000006,Picture Perfect Painting,80126,0,0.0
50760,"WESTERN UNION FINANCIAL SERVICES, INC.",CO,80112,60,68,66.4,"Western Drilling Services, LLC",81402,0,0.0
50761,"WESTERN UNION BUSINESS SOLUTIONS (USA), LLC",CO,80112,100,49,59.2,Wiesner Publishing Company LLC,80112,0,0.0
50762,"CUSTOM HOUSE USA, LLC",CO,80112,60,59,59.2,"Freedom Home Group, LLC",80918,0,0.0
51418,AKH JV,CO,80919,60,27,33.6,4A Engraving LLC,80132,0,0.0
51419,AKH JV,CO,80919,60,27,33.6,4A Engraving LLC,80132,0,0.0
51560,"SWANSON RINK, INC.",CO,80203,60,59,59.2,"Grand Teton Painting, Inc.",80536,0,0.0
51971,107 CABIN RIDGE,CO,80033,40,47,45.6,Becoming Images,80829,0,0.0
52228,"INTERNATIONAL CONTROL SYSTEMS, INC.",CO,80120,80,46,52.800000000000004,Vertex Financial Group Inc,80129,0,0.0
52353,HIGHTOWER SUITE,CO,80126,60,46,48.800000000000004,HomePro USA,80527,0,0.0
52425,UNITED FARM LENDING,CO,80918,100,42,53.6,Capital Dealer Solutions,80918,0,0.0
52426,MORTGAGE SOLUTIONS FINANCIAL,CO,80918,100,100,100.0,Mortgage Solutions Financial,80918,0,1.0
52684,"LENDERLIVE NETWORK, LLC",CO,80246,60,67,65.6,DISH Network L.L.C.,80160,0,0.0
53009,"NANA PACIFIC, LLC",CO,80921,100,97,97.60000000000001,Nana Pacific Llc,80921,0,1.0
53420,CIRCLE TWO,CO,80108,60,52,53.6,River Network,80302,0,0.0
53507,ERIC KELLEHER,CO,80211,80,41,48.800000000000004,Ace America's Cash Express,80112,0,0.0
53607,DOUGLAS HOPPER,CO,80911,40,57,53.6,Glaspro,80022,0,0.0
54874,"ARMSTRONG OIL & GAS, INC.",CO,80202,60,57,57.6,"Paramount Siding & Windows, Inc",80909,0,0.0
55575,TOWNEPLACE SUITES ANCHORAGE MIDTOWN,CO,80112,100,42,53.6,Local Insight Media Holdings Inc,80112,0,0.0
55660,SHIRT OFF MY BACK,CO,80122,80,38,46.400000000000006,Wiesner Publishing Company LLC,80112,0,0.0
55871,"SAMUEL ENGINEERING, INC.",CO,80111,60,55,56.0,4A Engraving LLC,80132,0,0.0
56409,THE PUMPKIN PATCH LLC,CO,80501,80,47,53.6,Deer Lake Electric Llc,80016,0,0.0
56596,"LAKEWOOD DEVELOPMENT, LLC",CO,80126,80,55,60.0,Deer Lake Electric Llc,80016,0,0.0
57113,MILENDER WHITE CONSTRUCTION CO,CO,80002,33,67,67.0,Krische Construction Inc,0,0,0.0
57154,HANNAH M. FOLEY,CO,80482,60,39,43.2,Nana Pacific Llc,80921,0,0.0
57610,RE/MAX ALASKA REGION,CO,80237,60,49,51.2,Alpaca Connection,80302,0,0.0
